# 10
10  1  5.0e-06    3.0e-06  3.6e-05
10  4  0.000479   0.001219 0.001602
10  8  0.000698   0.002325 0.002205
10  12  0.000779   0.003357 0.002895
10  16  0.000897   0.00423  0.003439
10  24  0.001136   0.006478 0.005904
10  32  0.001351   0.008779 0.008788
10  48  0.001759   0.01286  0.014524
10  64  0.002065   0.01675  0.015525


# 100
100  1  0.001351  0.001325  0.001443
100  4  0.001288  0.009921  0.011397
100  8  0.002502  0.019073  0.019285
100  12  0.003584  0.029095  0.03191
100  16  0.003763  0.035108  0.032486
100  24  0.0045    0.057535  0.057935
100  32  0.004375  0.079677  0.069238
100  48  0.004023  0.125662  0.114523
100  64  0.003967  0.168863  0.161371


# 1000
1000  1  1.501029  1.49742   0.76068
1000  4  0.298282  0.486803  0.791658
1000  8  0.151508  0.453757  0.623907
1000  12  0.345683  1.000734 1.773848
1000  16  0.263686  1.332026 1.850254
1000  24  0.291194  1.544003 1.976185
1000  32  0.283317  1.65582  2.039693
1000  48  0.290615  1.895569 2.22861
1000  64  0.303815  2.180357 2.040199


# 2000
2000  1  16.840661 16.831405  17.737457
2000  4  4.256325  4.764532   8.041901
2000  8  3.284904  4.399739   10.185905
2000  12  2.768639  8.932701   14.278509
2000  16  2.639957  8.951938   10.950489
2000  24  2.494702  9.422445   9.920313
2000  32  2.297217  9.604496   10.078692
2000  48  2.225535  9.89679    10.433688
2000  64  2.20297   10.318788  10.928621


# 3000
3000  1  60.217346  60.084429  60.499621
3000  4  26.413196  27.257485  30.349629
3000  8  26.246114  27.132438  27.798495
3000  12  22.104973  30.523897  29.9445
3000  16  19.141369  30.288659  29.829467
3000  24  13.939452  30.775963  30.963837
3000  32  12.649749  31.065938  31.893413
3000  48  11.60532   31.561163  32.698914
3000  64  11.44948   32.464627  32.020904


